instruction,intent,reference,few_shot_prompt,few_shot_response,latency_s
"I want a mortgage, I need help to take out it",apply_for_mortgage,"I'm here to assist you with applying for a mortgage. Getting a mortgage can be a significant step towards owning your own home. Let's get started on the process!

1. Gather your financial information: To apply for a mortgage, you'll need to provide some financial details, such as your income, employment history, credit score, and any outstanding debts. This information helps lenders determine your eligibility for a mortgage.

2. Research mortgage options: There are various types of mortgages available, such as fixed-rate mortgages, adjustable-rate mortgages, and government-insured mortgages. It's important to understand the different options and choose the one that best suits your needs and financial situation.

3. Find a lender: Shop around and compare mortgage lenders to find the one that offers competitive interest rates and favorable terms. You can check with banks, credit unions, or mortgage brokers to explore your options.

4. Get pre-approved: Pre-approval is an essential step in the mortgage application process. It involves submitting a mortgage application, providing necessary documentation, and having the lender review your financial information. Pre-approval gives you an idea of how much you can borrow and makes you a more attractive buyer to sellers.

5. Submit your application: Once you've chosen a lender, gather all the required documents and complete the mortgage application. Be prepared to provide proof of income, identification, bank statements, and other necessary paperwork. Double-check everything to ensure accuracy and completeness.

6. Work with your lender: After submitting your application, your lender will review it and may request additional information or documentation. Stay in contact with your lender throughout the process, responding promptly to any requests for information.

7. Await approval and finalization: Your lender will review your application, assess your creditworthiness, and determine if you meet their criteria for a mortgage. This process may take some time, so be patient. Once approved, you'll move on to the closing process, where you'll sign the loan documents and finalize the mortgage.

Remember, I'm here to guide you through each step of the way. If you have any specific questions or concerns, feel free to ask. Good luck with your mortgage application!","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: I want a mortgage, I need help to take out it
Response:","I'm sorry, I can't help you right now. You'll have to talk to one of the bank's branches.",2.14
could you help me block a credti card on mobile?,block_card,"I'm here to assist you with blocking your credit card on mobile. We understand the importance of securing your financial information. To block your credit card on mobile, follow these steps:

1. Launch the {{Banking App}} on your mobile device.
2. Log in to your account using your {{Username}} and {{Password}}.
3. Navigate to the {{Credit Card}} section within the app.
4. Look for the option to block or temporarily deactivate your credit card.
5. Click on the option and confirm the action when prompted.
6. If you encounter any difficulties or don't see the option, you can reach out to our customer support team through the app's {{Customer Service Chat}} feature or by calling our {{24/7 Customer Support Line}}.

Rest assured, we prioritize the security of your credit card and are here to assist you every step of the way. If you have any additional questions or need further assistance, feel free to let me know.","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: could you help me block a credti card on mobile?
Response:",I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch,1.44
"I would like to lock a card online, where can I do it?",block_card,"I recognize that you would like to lock a card online. I'm here to assist you with that. To lock your card online, please follow these steps:

1. Log in to your online banking account or mobile banking app.
2. Navigate to the ""Cards"" section or ""Account Services"" option.
3. Look for the specific card you want to lock and select it.
4. Within the card details, you should find an option or button to lock the card.
5. Click on that option or button and confirm the lock.

By following these steps, you'll be able to lock your card online hassle-free. If you encounter any difficulties or have further questions, feel free to let me know. I'm here to help!","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: I would like to lock a card online, where can I do it?
Response:",You will be able to lock a debit card online at https://www.bankofindia.co.id.,1.57
i have to block an amex could uhelp me,block_card,"I'll do my best! I'm here to assist you with blocking your American Express card. Let's get this taken care of promptly. Here are the steps you need to follow:

1. Contact our customer support team at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Company Website URL}}.
2. Inform them that you need to block your American Express card.
3. They will guide you through the necessary verification process and assist you in blocking the card.

If you have any further questions or need additional assistance, feel free to let me know. I'm here to help!","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: i have to block an amex could uhelp me
Response:",Can you tell me how can i block an amex,0.89
need to block a master card,block_card,"I can assist you with that! Blocking your MasterCard is an important step to ensure the security of your account. Here's what you need to do:

1. Contact our customer support team immediately at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Company Website URL}}. They are available {{Customer Support Working Hours}} to assist you in blocking your MasterCard.

2. Provide them with the necessary details such as your account information, card number, and any other security information they may require.

3. They will guide you through the process and take the necessary steps to block your MasterCard to prevent any unauthorized transactions.

4. It's also advisable to keep a close eye on your account activity and report any suspicious transactions, if any, to our customer support team.

Rest assured, our priority is to ensure the security of your account and assist you promptly in blocking your MasterCard. Feel free to reach out if you need any further assistance or have any additional questions.","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: need to block a master card
Response:",I'm sorry to hear that your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch,1.24
"I need to lock a credit card, where can I do iut?",block_card,"I'm here to assist you with locking your credit card. To ensure the security of your account, you can easily lock your credit card by following these steps:

1. Log in to your online banking account or open the mobile app.
2. Navigate to the ""Cards"" section or look for the ""Manage Cards"" option.
3. Select the credit card you want to lock.
4. Look for the ""Lock Card"" or ""Freeze Card"" option and click on it.
5. Confirm your action and your credit card will be locked.

By locking your credit card, you can prevent any unauthorized transactions from occurring and protect your account. If you encounter any issues or need further assistance, feel free to reach out. I'll be here to help you every step of the way!","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: I need to lock a credit card, where can I do iut?
Response:",You can lock a credit card by calling the number on the back of the card.,0.86
waznna cancel a card on mobile how do i do it,cancel_card,"I'm here to help you with canceling your card on mobile! It's a simple process. Here's what you need to do:

1. Open the {{Banking Mobile App}} on your mobile device.
2. Log in to your account using your credentials.
3. Navigate to the ""Cards"" section of the app.
4. Find the card you want to cancel and select it.
5. Look for the ""Cancel Card"" option and tap on it.
6. Follow the on-screen instructions to confirm the cancellation.

If you encounter any issues or need further assistance, don't hesitate to reach out to our {{24/7 Customer Support}} team through the app or visit our website at {{Banking Website URL}}. We'll be more than happy to walk you through the process and answer any questions you may have.","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: waznna cancel a card on mobile how do i do it
Response:",You can cancel a debit card on your mobile app.,1.01
"I need to cancel a credit cardon mobile, could I get some help?",cancel_card,"I'm here to assist you with canceling your credit card through your mobile device. Follow these simple steps to get it done:

1. Open your mobile banking app or visit the website of your credit card issuer.
2. Log in to your account using your credentials.
3. Look for the ""Manage Cards"" or ""Card Services"" section within the app or website.
4. Find the specific credit card you want to cancel and select it.
5. Look for the ""Cancel Card"" or ""Close Account"" option.
6. Follow the prompts provided, which may include confirming your decision and providing a reason for the cancellation.
7. Once you complete the cancellation process, make sure to verify that your credit card has been successfully canceled.

If you encounter any difficulties, it's best to reach out to the customer support team of your credit card issuer. They will be able to guide you through the process and address any concerns you may have.

Please remember to safeguard your personal information and keep a record of your cancellation confirmation. Let me know if there's anything else I can assist you with!","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: I need to cancel a credit cardon mobile, could I get some help?
Response:",Can you tell me how to do that?,0.47
I'd like to cancel a amex how do i do it,cancel_card,"I can assist you with canceling your American Express card. Here's what you need to do:

1. Contact the customer service department of American Express. You can reach them at {{American Express Customer Service Phone Number}} or through their website at {{American Express Website URL}}.
2. Provide them with your card details, such as the card number, cardholder's name, and any other required information.
3. Explain your intention to cancel the card and follow the instructions provided by the customer service representative.
4. They may ask for additional verification or may need you to complete a cancellation form.
5. Make sure to inquire about any outstanding balances on the card and the process for settling them.
6. Once the cancellation process is completed, cut up or destroy your physical card to ensure it cannot be used.

If you have any difficulties or need further assistance during the cancellation process, feel free to reach out to me. I'm here to help!","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: I'd like to cancel a amex how do i do it
Response:",You can do so by calling the Amex phone number listed on your Amex card.,0.9
"I'd like to cancel a Master Card, I need help",cancel_card,"I'm here to assist you with canceling your {{Credit Card}}. I understand that you need help with canceling it. Don't worry, I'll provide you with the necessary guidance.

To cancel your {{Credit Card}}, please follow these steps:

1. Contact the customer service department of the bank or financial institution that issued your {{Credit Card}}. You can find their contact information on the back of your card or on their website.
2. Inform the customer service representative that you wish to cancel your {{Credit Card}}. They will guide you through the cancellation process and may require some personal information for verification purposes.
3. Follow any additional instructions provided by the representative to complete the cancellation process.

If you encounter any difficulties or have further questions, please feel free to let me know. I'm here to support you throughout the process.","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: I'd like to cancel a Master Card, I need help
Response:",I'm sorry I can't help you right now. Can you tell me how to cancel a Master Card?,1.09
"I do not want my card, helo me canceling it",cancel_card,"I'm sorry to hear that you want to cancel your card. I can definitely assist you with that. Here's what you need to do:

1. Contact our {{Customer Support}} team either through our website or by phone at {{Customer Support Phone Number}}.
2. Provide them with your card details, such as the card number and any other necessary information they may ask for.
3. They will guide you through the cancellation process and ensure that your card is canceled properly.

If you have any other questions or need further assistance, please let me know.","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: I do not want my card, helo me canceling it
Response:",I'm sorry I can't help you right now. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it,1.83
I'd like to canel a loan i need help,cancel_loan,"I feel the need to apologize for the inconvenience you're experiencing with canceling your loan. I'm here to provide the assistance you need. Please follow the steps below, and we'll get your loan canceled as quickly as possible:

1. Log in to your account on our website.
2. Navigate to the ""{{Loan Details}}"" section.
3. Look for the option to ""{{Cancel Loan}}"" or ""{{Request Loan Cancellation}}"".
4. Select the appropriate option and follow any prompts or instructions provided.
5. If you encounter any issues or have any questions, feel free to reach out to our customer support team at {{Customer Support Phone Number}} or via the Live Chat on our website.

We understand that canceling a loan can be a complex process, but rest assured, we're here to guide you every step of the way. Let us know if there's anything else we can assist you with.","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: I'd like to canel a loan i need help
Response:",I'd like to canel a loan i need help,0.94
"I can't pay for my loan, can I cancel it ?",cancel_loan,"I'm sorry to hear that you're having difficulty with your loan payments. Understanding the challenges that financial obligations can bring, we strive to provide assistance whenever possible. While canceling a loan may not be an available option, we have alternative solutions to help you navigate this situation. I recommend reaching out to our dedicated customer support team at {{Customer Support Phone Number}} or via our live chat on our website at {{Company Website URL}}. They will be able to review your specific situation and provide guidance on the best course of action. Rest assured, we're here to support you.","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: I can't pay for my loan, can I cancel it ?
Response:","Yes, you can cancel your loan.",0.75
i cannot pay for my  loan will ya help me to cancel it,cancel_loan,"I'm really sorry to hear that you're facing difficulties with your loan repayment. I understand that financial difficulties can be incredibly stressful. Let's see what we can do to help you out.

To cancel your loan, please follow these steps:

1. Contact our customer support team at {{Customer Support Phone Number}} or send an email to {{Customer Support Email Address}}.
2. Explain your situation and provide them with your loan details, such as the loan account number or any other relevant information.
3. Our customer support team will guide you through the cancellation process and provide you with any necessary instructions or documentation.
4. Keep in mind that canceling a loan may have certain consequences, such as accrued interest or fees. Our team will explain these details to you and assist you in understanding the implications.

If you have any other questions or concerns, please don't hesitate to let me know. We're here to help you through this process.","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: i cannot pay for my  loan will ya help me to cancel it
Response:",I'm sorry to hear you can't pay for your loan. Can I cancel it?,1.16
i have to cancel a loan can uhelp me,cancel_loan,"I'm sensitive to the fact that you need assistance with canceling your loan. I'm here to help you with that. To initiate the cancellation process, please follow these steps:

1. Contact our customer support team at {{Customer Support Phone Number}} or email us at {{Customer Support Email Address}}. Provide them with your loan details, such as your loan account number and the reason for cancellation.

2. Our customer support representatives will guide you through the cancellation procedure and let you know if there are any additional documents or forms required.

3. Complete the necessary paperwork, if applicable, and submit it as instructed by our team. Make sure to include all the required information accurately.

4. Once your cancellation request is received, our team will review it and inform you of the next steps. This may include any outstanding payments, fees, or penalties associated with the cancellation.

Please note that the specific cancellation process and any associated fees may vary depending on your loan agreement and the policies of the lending institution. Our dedicated customer support team will provide you with all the necessary information and guide you through the process.

If you have any further questions or need additional assistance, don't hesitate to reach out to our customer support team. We're here to ensure a smooth and hassle-free cancellation process for you.","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: i have to cancel a loan can uhelp me
Response:",You can cancel a loan by logging in to your bank account. You'll be able to do this through the app.,1.22
"I don't want to pay for my loan, help me to cancel it",cancel_loan,"We acknowledge the issue, and we're sorry for any inconvenience you may be facing regarding your loan. I understand that circumstances can change, and you may need to explore options for canceling it. 

To proceed with the cancellation, I recommend reaching out to our customer service team directly. They have the expertise to guide you through the cancellation process and provide personalized assistance based on your specific loan details. You can reach them at {{Customer Service Phone Number}} or through our live chat feature on our website at {{Company Website URL}}. 

Please provide them with your loan account number or any other relevant information, so they can locate your account quickly and assist you effectively. They will be able to provide you with all the necessary information and next steps for canceling your loan. 

If you have any further questions or concerns, please don't hesitate to ask. We're here to help you through this process.","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: I don't want to pay for my loan, help me to cancel it
Response:",I'm sorry I can't help you right now. You can cancel your loan at any time. You just need to contact your bank.,1.36
i dont wanna pay for my omrtgage could ya cancel it,cancel_mortgage,"I deeply apologize for any inconvenience you may be experiencing with your mortgage. I understand that you're looking to cancel it. Let's figure out the best course of action for you.

Canceling a mortgage is a significant decision, and it's essential to handle it properly. To proceed with cancelation, I recommend reaching out to our dedicated {{Mortgage Service Team}}. They have the expertise and knowledge to guide you through the cancellation process.

You can contact them at {{Customer Support Phone Number}} or send an email to {{Customer Support Email Address}}. They will provide you with detailed instructions and assist you with any questions or concerns you may have.

Please keep in mind that canceling a mortgage can have certain financial and legal implications, so it's crucial to discuss your situation with our experts.","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: i dont wanna pay for my omrtgage could ya cancel it
Response:",No problem. You'll have to contact your bank directly to cancel it. You can do so by calling the number on the back of your card.,1.31
i do not wanna pay for my mortgage i need assistance to cancel it,cancel_mortgage,"I fathom that you're facing challenges with your mortgage payments and would like assistance in canceling it. I'm here to help you with that. Cancelling a mortgage is an important decision, and I want to ensure that you have all the necessary information and guidance. Here's what you need to know:

1. Review your mortgage contract: Take a close look at the terms and conditions outlined in your mortgage agreement. It's essential to understand the cancellation policy, any penalties or fees involved, and the process for cancellation.

2. Contact your mortgage provider: Reach out to your mortgage provider as soon as possible to express your desire to cancel and discuss the available options. They will be able to provide specific instructions on how to proceed with cancellation and guide you through the necessary steps.

3. Consider financial implications: Cancelling a mortgage may have financial implications, including potential penalties or fees. It's crucial to be aware of the financial impact before making a final decision. Your mortgage provider can provide detailed information about any costs or consequences associated with cancellation.

4. Seek professional advice: If you're unsure about the best course of action or need assistance understanding the terms of your mortgage agreement, consider consulting with a financial advisor or mortgage specialist. They can provide personalized advice based on your unique situation and help you make an informed decision.

Please remember that I'm here to support you throughout this process. If you have any specific questions or if there's anything else I can assist you with, feel free to let me know.","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: i do not wanna pay for my mortgage i need assistance to cancel it
Response:",I'm sorry to hear that you'd like to cancel your mortgage. You'll need to do this through your bank's website.,1.89
I ahve to cancel a mortgage,cancel_mortgage,"I can see that you're looking to cancel your mortgage, and I'm here to assist you with that. Cancelling a mortgage can be a complex process, but I'll do my best to guide you through it. Here's what you need to know:

1. Contact our {{Mortgage Department}} as soon as possible. They will provide you with the necessary instructions and documents required for canceling your mortgage.
2. Keep in mind that there may be certain fees or penalties associated with canceling a mortgage. Our team will outline the details specific to your situation.
3. Provide any requested information, such as your {{Loan Account Number}} or {{Identification Number}}, to help expedite the cancellation process.
4. It's important to review all the terms and conditions of your mortgage agreement, as there may be specific clauses related to cancellation.

If you have any additional questions or need further assistance, please don't hesitate to reach out. We're here to support you throughout this process.","You are a helpful and professional customer service assistant for a retail bank in India. Answer customer queries accurately, clearly, and politely. Do not invent specific numbers such as interest rates or account balances. If unsure, direct the customer to their branch or banking app.


Example 1:
Customer query: My debit card has been blocked. What should I do?
Response: I'm sorry to hear your debit card has been blocked. Please call the number on the back of your card or visit your nearest branch with a valid photo ID to unblock it. You can also temporarily unblock it through your banking app under Card Management.

Example 2:
Customer query: Can I get information about my current EMI schedule for my personal loan?
Response: Of course. Your EMI schedule can be viewed in the Loans section of your banking app or internet banking portal. It shows the due dates, instalment amounts, and outstanding balance. If you need a detailed statement, you can request one through the app or by visiting your branch.

Now answer the following customer query in a similar professional, helpful, and accurate manner:
Customer query: I ahve to cancel a mortgage
Response:",You can cancel a mortgage by visiting your nearest branch. You will need to present a copy of your bank statement to cancel the mortgage.,1.25
