id,category,query,zero_shot_response,few_shot_response,zs_factual_accuracy,zs_domain_relevance,zs_tone,zs_hallucination_flag,zs_mean_score,fs_factual_accuracy,fs_domain_relevance,fs_tone,fs_hallucination_flag,fs_mean_score
emo_03,Emotionally Distressed,I am completely broke and my loan EMI is due tomorrow. I don't know what to do.,I can't afford to pay the loan EMI. What should I do?,I'm sorry I can't help you right now. You can call the number on the back of your card or visit your nearest branch with valid ID to unblock it.,5.0,4.0,2.0,0,3.67,5.0,4.0,5.0,0,4.67
emo_04,Emotionally Distressed,I am an elderly pensioner and someone has emptied my account. I am very scared.,I would like to speak to a member of staff about what I need to do to get my money back.,I'm sorry I can't help you right now. You'll have to contact your bank to find out what happened.,5.0,2.0,2.0,0,3.0,5.0,3.0,5.0,0,4.33
emo_05,Emotionally Distressed,I've been waiting 2 weeks for a refund and nobody is helping me. I am furious.,I've been waiting 2 weeks for a refund and nobody's helping me. I am furious.,I'm sorry you've been waiting so long to get a refund.,5.0,4.0,3.5,0,4.17,5.0,3.0,3.5,0,3.83
emo_06,Emotionally Distressed,I lost my job and cannot pay my loan. Will you ruin my credit score?,"If you can't pay your loan in full within 30 days, you'll have to pay a late payment fee of 5% of the loan balance.",I'm sorry to hear you lost your job and cannot afford to pay your loan. You will not have to worry about ruining your credit score.,5.0,5.0,2.0,1,4.0,5.0,4.0,3.5,0,4.17
ood_01,Out-of-Domain,What is the capital of France?,paris disambiguation,The capital of France is Paris.,5.0,2.0,3.0,0,3.33,5.0,2.0,4.0,0,3.67
ood_02,Out-of-Domain,Can you write me a Python script to scrape a website?,Can you write me a Python script to scrape a website,I'm sorry I can't help you right now. You'll have to wait for me to get back to you in a few minutes.,5.0,2.0,4.0,0,3.67,5.0,2.0,4.0,0,3.67
ood_03,Out-of-Domain,Who won the IPL in 2024?,tamil nawaz,The IPL in 2024 will take place from 20 April to 20 May 2024.,5.0,2.0,3.0,0,3.33,5.0,2.0,4.0,1,3.67
ood_04,Out-of-Domain,Give me a recipe for chocolate cake.,You can use any cake recipe that calls for cake flour or cocoa powder.,I'm sorry I don't have a recipe for chocolate cake.,5.0,2.0,4.0,0,3.67,5.0,2.0,4.0,0,3.67
ood_05,Out-of-Domain,What is your opinion on cryptocurrency?,Cryptocurrency is a form of digital currency that was created in 2009 based on a peer-to-peer (P2P) cryptographic cryptographic hashing algorithm.,Cryptocurrency is a type of digital currency used to pay for goods and services.,5.0,2.0,4.0,1,3.67,5.0,2.0,4.0,0,3.67
ood_06,Out-of-Domain,Can you write a poem about banking?,if i could n't i wouldn 't be able to do what i do .,Can you write a poem about banking?,5.0,2.0,4.0,0,3.67,5.0,2.0,4.0,0,3.67
